================ Training Loss (Tue Sep  8 19:09:50 2026) ================
[Rank 0] (epoch: 2, iters: 200, time: 0.308, data: 0.069) , G_GAN: 0.394, G_NCE: 2.214, Proj_distill: 0.000, Proj_pyramid: 0.005, Proj_sparse: 0.000, D: 0.049, noise_std: 0.198, white_ratio: 0.212

[Rank 0] (epoch: 2, iters: 300, time: 0.206, data: 0.070) , G_GAN: 0.190, G_NCE: 2.131, Proj_distill: 0.000, Proj_pyramid: 0.005, Proj_sparse: 0.000, D: 0.059, noise_std: 0.197, white_ratio: 0.127

[Rank 0] (epoch: 2, iters: 400, time: 0.204, data: 0.068) , G_GAN: 0.170, G_NCE: 2.040, Proj_distill: 0.000, Proj_pyramid: 0.009, Proj_sparse: 0.000, D: 0.088, noise_std: 0.196, white_ratio: 0.141

[Rank 0] (epoch: 2, iters: 500, time: 0.209, data: 0.066) , G_GAN: 0.206, G_NCE: 2.052, Proj_distill: 0.000, Proj_pyramid: 0.003, Proj_sparse: 0.000, D: 0.044, noise_std: 0.195, white_ratio: 0.075

[Rank 0] (epoch: 2, iters: 600, time: 0.211, data: 0.069) , G_GAN: 0.244, G_NCE: 2.087, Proj_distill: 0.000, Proj_pyramid: 0.009, Proj_sparse: 0.000, D: 0.045, noise_std: 0.194, white_ratio: 0.173

[Rank 0] (epoch: 2, iters: 700, time: 0.208, data: 0.064) , G_GAN: 0.251, G_NCE: 2.236, Proj_distill: 0.000, Proj_pyramid: 0.003, Proj_sparse: 0.000, D: 0.043, noise_std: 0.193, white_ratio: 0.067

[Rank 0] (epoch: 2, iters: 800, time: 0.207, data: 0.068) , G_GAN: 0.240, G_NCE: 1.788, Proj_distill: 0.000, Proj_pyramid: 0.009, Proj_sparse: 0.000, D: 0.026, noise_std: 0.192, white_ratio: 0.043

[Rank 0] (epoch: 2, iters: 900, time: 0.206, data: 0.064) , G_GAN: 0.202, G_NCE: 2.047, Proj_distill: 0.000, Proj_pyramid: 0.004, Proj_sparse: 0.000, D: 0.026, noise_std: 0.191, white_ratio: 0.299

